length,matching_type,time,match
2,regex,8.520000000089567e-05,True
2,nfa,6.790000000478358e-05,True
2,dfa,4.199999999343618e-06,True
22,regex,0.004969500000001403,True
22,nfa,0.00048530000000113205,True
22,dfa,1.089999999948077e-05,True
42,regex,0.04567930000000331,True
42,nfa,0.0009247999999999479,True
42,dfa,1.850000000302998e-05,True
62,regex,0.18586240000000487,True
62,nfa,0.0013894000000007622,True
62,dfa,2.5399999998398926e-05,True
82,regex,0.5100404000000012,True
82,nfa,0.0017978999999996859,True
82,dfa,3.410000000059199e-05,True
102,regex,1.177989199999999,True
102,nfa,0.0022590999999962946,True
102,dfa,3.829999999993561e-05,True
122,regex,2.2184600999999944,True
122,nfa,0.0026618000000055986,True
122,dfa,4.590000000348482e-05,True
142,regex,3.9196573000000043,True
142,nfa,0.0031837000000010107,True
142,dfa,5.000000000165983e-05,True
162,regex,6.730599599999998,True
162,nfa,0.003924699999998893,True
162,dfa,5.72000000005346e-05,True
182,regex,10.523551900000001,True
182,nfa,0.00395370000001094,True
182,dfa,6.099999998809835e-05,True
202,regex,15.3458835,True
202,nfa,0.004403299999992782,True
202,dfa,6.689999999309748e-05,True
